Series,Play,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards
8,57,3,5:26,10,3,3.0,42,Pass,11,"""+2x2+"", shotgun offset R",RB bk,N/A,,"Washington (R RB, 3)",Catch,0.0,,,RM,S,,,Under,4.0,0,42,0.0,5,26,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,1.0,RB,bk,RB,3,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
9,58,4,14:56,7,1,10.0,-25,Pass,6 OL,"""+2x2-"", closed R, dual TE LOS, singleback",,N/A,,Crabtree (L1),Catch,13.0,,,LS,IS,,,Under,5.0,0,75,13.0,14,56,1.0,2.0,2.0,1.0,Wide,Narrow,0.0,,0.0,,0.0,,,WR,1,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
9,59,4,14:15,7,1,10.0,-38,Run,6 OL,"""-3x1+"", closed L, triple TE LOS, singleback",,Murray,,N/A,N/A,8.0,,,,,M,,Under,,0,62,8.0,14,15,1.0,3.0,1.0,1.0,Narrow,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
9,60,4,13:32,7,2,2.0,-46,Run,11,"""+3x1+"", shotgun offset L",,Washington,,N/A,N/A,4.0,,,,,M,,2 Eagle Odd,,0,54,4.0,13,32,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,1.0,1.0,0.0,,,,0.0
9,61,4,12:49,7,1,10.0,50,Pass,12,"""+2x2-"", closed R, dual TE LOS, shotgun offset R",,N/A,,"Walford (R LOS TE, 2)",Catch,15.0,,,RM,IS,,,Under,4.0,0,50,15.0,12,49,1.0,2.0,2.0,0.0,Wide,Narrow,1.0,,0.0,,0.0,,,TE,2,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
9,62,4,12:07,7,1,10.0,35,Run,6 OL,"""-3x1+"", closed L, triple TE LOS, singleback",,Washington,,N/A,N/A,4.0,,,,,M,,Under,,0,35,4.0,12,07,1.0,3.0,1.0,1.0,Narrow,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
9,63,4,11:24,7,2,6.0,31,Pass,21,"""-3x1+"", bunch L-, singleback",,N/A,,Cooper (R1),Catch,7.0,,,RM,S,,,Under,5.0,0,31,7.0,11,24,2.0,1.0,2.0,0.0,Narrow,Wide,0.0,,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0
9,64,4,10:48,7,1,10.0,24,Pass,12,"""+2x2-"", closed R, dual TE LOS, shotgun offset R",,N/A,,N/A,"Sack, Roby",0.0,,,,,,,Under,4.0,0,24,0.0,10,48,1.0,2.0,2.0,0.0,Wide,Narrow,1.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,1.0,0.0,,,0.0
9,65,4,10:03,7,2,10.0,24,Run,6 OL,"""-1x3+"", closed L, dual TE LOS, singleback",TE in,Murray,"RG, TE",N/A,N/A,3.0,,,,,IL,,Over,,0,24,3.0,10,03,1.0,2.0,2.0,1.0,Narrow,Wide,0.0,,0.0,,1.0,TE,in,,,,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0
9,66,4,9:18,7,3,7.0,21,Pass,0,"""+2x3+"", shotgun",,N/A,,Roberts (L2),Inc.,,"Off. Holding, Penn, -10",,LS,ID,,,Over,4.0,0,21,-10.0,9,18,,,,0.0,Wide,Wide,1.0,,0.0,,0.0,,,WR,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,1.0,,Defense,Off. Holding,10.0
