,,,,,,,,,,,,,,,,,,,Pass Area,,,,,,,,,,,,,,,
Week,Opponent,Qtr,Time,Score,Down,Distance,POS,Play Description,Personnel,Formation,Motion,Runner,Lead Block,Target,Catch,Gain,Penalty,Play Action,Area,Depth,Run Area,Def Package,Def Front,Pass Rushers,,Personnel,Plays,Run,Pass,RuYds,Pass Comp,PaYds,Yds Per Carry,Yds Per Pass
7,at ARZ,2,1:45,Down 3,3,15,-24,Pass,11,"""-3x1-"", closed R, bunch L-, shotgun offset R",,,,"Graham (R LOS TE, 1)",Inc.,0,,,LM,S,,,Other Odd,4,,,,,,,,,,
7,at ARZ,3,14:54,Down 3,1,10,-28,Run,11,"""+3x1-"", closed R, shotgun offset L",,Michael,,,,4,,,,,M,,Over,,,,,,,,,,,
7,at ARZ,3,3:57,Down 3,2,7,-21,Run,11,"""-1x3+"", closed L, pistol",,Michael,,,,4,,,,,IL,,Over,,,,,,,,,,,
7,at ARZ,4,11:51,Down 3,1,10,-21,Pass,12,"""-1x3-"", closed L, singleback",TE in,,,Michael (RB 0),Inc.,,"Off. Holding, Sowell, -10",Hard,LS,S,,,Over,4,,,,,,,,,,
7,at ARZ,4,11:43,Down 3,1,20,-11,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Baldwin (L3),Inc.,0,,,RS,ID,,,Over,5,,,,,,,,,,
7,at ARZ,4,7:52,Down 3,3,29,-1,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,Baldwin (L3),Catch,13,,,M,IS,,,Other Odd,4,,,,,,,,,,
7,at ARZ,4,4:22,Down 3,1,20,32,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Kearse (R1),Inc.,0,,,RS,ID,,,Over,4,,,,,,,,,,
7,at ARZ,4,4:16,Down 3,2,20,32,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Baldwin (R3),Inc.,0,,,M,IS,,,Over,4,,,,,,,,,,
7,at ARZ,4,0:55,Tied,1,10,-48,Pass,11,"""+3x1-"", closed R, shotgun offset L",,,,Throwaway,Inc.,,"Off. Holding, Gilliam, -10",,,,,,Over,4,,,,,,,,,,
7,at ARZ,4,0:41,Tied,1,30,-28,Run,11,"""+3x1-"", shotgun offset L",,Prosise,,,,,,,,,M,,Other Odd,4,,,,,,,,,,
7,at ARZ,OT,11:23,Down 3,1,10,-25,Run,12,"""+3x1-"", closed R, singleback",TE in,Michael,TE,,,,,,,,IR,,Over,,,,,,,,,,,
7,at ARZ,OT,10:46,Down 3,1,10,-35,Pass,11,"""+3x1-"", closed R, shotgun offset R",WR in,,,"Graham (R LOS TE, 1)",Catch,13,,"Hard, roll",RS,IS,,,Over,4,,,,,,,,,,
7,at ARZ,OT,10:03,Down 3,1,10,-48,Pass,11,"""+3x1-"", closed R, shotgun offset R",,,,"Graham (R LOS TE, 1)",Catch,8,,,M,S,,,Over,4,,,,,,,,,,
7,at ARZ,OT,9:30,Down 3,2,2,44,Run,11,"""+3x1-"", closed R, shotgun offset R",,Michael,,,,6,,,,,IL,,Over,,,,,,,,,,,
7,at ARZ,OT,8:52,Down 3,1,10,38,Pass,11,"""-1x3+"", shotgun offset L",,,,Graham (L1),Catch,14,,,M,S,,,Under,4,,,,,,,,,,
7,at ARZ,OT,8:14,Down 3,1,10,24,Run,11,"""+3x1-"", closed R, shotgun offset R",,Michael,,,,1,,,,,IL,,Under,,,,,,,,,,,
7,at ARZ,OT,7:34,Down 3,2,9,23,Pass,11,"""-1x3-"", closed L, shotgun offset L",,,,Lockett (R1),Catch,5,,,RM,S,,,Over,4,,,,,,,,,,
7,at ARZ,OT,6:52,Down 3,3,4,18,Pass,11,"""+3x1*"", shotgun offset R",,,,Graham (R1),Inc.,0,,,RS,D,,,Under,4,,,,,,,,,,
7,at ARZ,OT,3:19,Tied,1,10,-20,Run,12,"""+3x1-"", closed R, shotgun offset R",,Michael,,,,0,,,,,M,,2 Eagle Odd,,,,,,,,,,,
7,at ARZ,OT,1:53,Tied,1,10,43,Run,12,"""-1x3+"", closed L, singleback",TE in,Michael,TE,,,5,,,,,IL,,Over,,,,,,,,,,,
7,at ARZ,OT,0:54,Tied,1,G-9,9,Run,11,"""+3x1-"", closed R, shotgun offset R",,Michael,,,,-1,,,,,M,,Over,,,,,,,,,,,
8,at NOR,2,11:33,Up 4,1,10,-25,Pass,11,"""-3x1-"", closed R, bunch L-, shotgun offset R",,,,Lockett (BI),7,7,,Hard,RM,S,,,Under,4,,,,,,,,,,
8,at NOR,3,10:32,Up 1,1,10,30,Pass,11,"""-3x1-"", closed R, bunch L-, shotgun offset R",,,,"Michael (R RB, 2)",Inc.,0,,,RM,S,,,Over,4,,,,,,,,,,
8,at NOR,4,12:24,Down 5,1,10,-25,Pass,11,"""-1x3-"", closed L, bunch R-, shotgun offset L",,,,Lockett (BI),Catch,8,,"Hard, roll",LS,S,,,Other Even,4,,,,,,,,,,
8,at NOR,4,7:24,Down 5,2,G-10,10,Pass,11,"""-1x3-"", closed L, shotgun offset L",,,,"Graham (L LOS TE, 1)",Inc.,0,,,LM,IS,,,Over,4,,,,,,,,,,
8,at NOR,4,7:20,Down 5,3,G-10,10,Pass,11,"""-1x3+"", closed L, shotgun offset L",,,,Lockett (R3),Catch,7,,,RS,S,,,Over,4,,,,,,,,,,
8,at NOR,4,0:33,Down 5,3,6,45,Pass,11,"""-3x1-"", bunch L-, shotgun offset R",,,,Baldwin (BI),Catch,27,,,LM,S,,,Other Odd,2,,,,,,,,,,
9,BUF,1,14:30,Tied,2,1,-34,Run,12,"""-1x3*"", closed L, singleback",WR in,Michael,,,,-2,,,,,IR,,Over,,,,,,,,,,,
9,BUF,2,8:02,Down 3,3,8,-46,Pass,11,"""-3x1-"", bunch L-, shotgun offset R",,,,,"Sack, Hughes",-10,,,,,,,Over,5,,,,,,,,,,
9,BUF,4,3:04,Up 6,2,11,-17,Run,11,"""-1x3+"", closed L, singleback",WR in,Prosise,,,,3,,,,,IR,,2 Eagle Odd,,,,,,,,,,,
