Week,Opponent,Quarter,Time,Score_Margin,Down,Distance,POS,Play_Type,Personnel,Formation,Motion,Runner,Lead_Block,Target,Catch,Gain,Penalty,Play_Action,Pass_Area,Pass_Depth,Run_Area,Def_Package,Def_Front,Pass_Rushers,Goal_Line,LOS_to_Goal,Net_Gain,Minute,Second,Num_RB,Num_TE,Num_WR,6_OL,Left_Split,Right_Split,Shotgun,Shotgun_Offset,I-Form,I-Form_Offset,Motion_Bool,Motion_Pos,Motion_Dir,Target_Pos,Target_Align,Pass_Dir,TD,Explosive_Pass,Explosive_Pass_Yd,Explosive_Run,Explosive_Run_Yd,Explosive_Play,Successful_Pass,Successful_Run,Successful_Play,Sack_TFL,Sack_TFL_Yards,Penalty_Team,Penalty_Type,Penalty_Yards,Home/Road
2,TEN,3,1:54,9,2,9.0,9,Pass,11,"""-1x3+"", pistol",,N/A,,Riddick (RB 0),Inc.,0.0,,,Swing L,S,,,Under,4,1,9,0.0,1,54,1.0,1.0,3.0,0.0,Narrow,Wide,0.0,,0.0,,0.0,,,RB,0,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,3,1:49,9,3,9.0,9,Pass,11,"""+2x3+"", shotgun",WR out,N/A,,Ebron (L2),Inc.,0.0,,,LS,IS,,,Over,4,1,9,0.0,1,49,1.0,1.0,3.0,0.0,Wide,Wide,1.0,,0.0,,1.0,WR,out,WR,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,4,14:54,5,1,10.0,-25,Pass,21,"""+1x2*"", shotgun 2 RB",,N/A,,"Riddick (L RB, 2)",Catch,8.0,,,LM,S,,,Over,4,0,75,8.0,14,54,2.0,1.0,2.0,0.0,Wide,Normal,1.0,,0.0,,0.0,,,RB,2,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,4,14:11,5,2,2.0,-33,Pass,12,"""+3x1+"", dual TE LOS, singleback",,N/A,,M. Jones (R1),Catch,10.0,,"Hard, roll",RS,IS,,,Other Odd,3,0,67,10.0,14,11,1.0,2.0,2.0,0.0,Wide,Wide,0.0,,0.0,,0.0,,,WR,1,Right,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,4,12:43,5,1,10.0,44,Pass,11,"""*2x2+"", pistol",,N/A,,N/A,"Sack, Klug",-6.0,,Hard,,,,,Over,4,0,44,-6.0,12,43,1.0,1.0,3.0,0.0,Normal,Wide,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,0.0,,,0.0,1.0,-6.0,,,0.0,Home
2,TEN,4,11:59,5,2,16.0,50,Pass,11,"""*2x3+"", shotgun",,N/A,,Tate (L1),Inc.,0.0,,,LS,D,,,Under,4,0,50,0.0,11,59,1.0,1.0,3.0,0.0,Normal,Wide,1.0,,0.0,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,4,11:52,5,3,16.0,50,Pass,11,"""*1x3+"", shotgun offset L",,N/A,,"Riddick (L RB, 2)",Catch,8.0,,,RB Screen L,S,,,Over,4,0,50,8.0,11,52,1.0,1.0,3.0,0.0,Normal,Wide,1.0,Left,0.0,,0.0,,,RB,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,4,8:40,5,1,10.0,-36,Pass,11,"""*2x2+"", shotgun offset R",,N/A,,Tate (L1),Catch,8.0,,,LS,S,,,Over,4,0,64,8.0,8,40,1.0,1.0,3.0,0.0,Normal,Wide,1.0,Right,0.0,,0.0,,,TE,1,Left,0.0,0.0,,0.0,,0.0,1.0,,1.0,0.0,,,,0.0,Home
2,TEN,4,7:22,5,3,4.0,-42,Pass,11,"""*1x3+"", shotgun offset L",,N/A,,Tate (R1),Inc.,0.0,,,RS,D,,,2 Eagle Even,4,0,58,0.0,7,22,1.0,1.0,3.0,0.0,Normal,Wide,1.0,Left,0.0,,0.0,,,TE,1,Right,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
2,TEN,4,1:13,-1,1,10.0,-25,Pass,11,"""+2x2+"", shotgun offset R",,N/A,,Boldin (L2),Inc.,0.0,,,LS,S,,,Under,4,0,75,0.0,1,13,1.0,1.0,3.0,0.0,Wide,Wide,1.0,Right,0.0,,0.0,,,WR,2,Left,0.0,0.0,,0.0,,0.0,,,0.0,0.0,,,,0.0,Home
